account,date,daily_pnl,win_rate,avg_trade_size,num_trades,long_ratio,sentiment
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-06-15,3343.0556109999998,0.44144144144144143,55102.44594594595,222,0.6081081081081081,
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,0.30684931506849317,1.9103895890410958,730,0.48904109589041095,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,0.3315508021390374,5.636603271634836,1309,0.5393430099312452,Neutral
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,0.3282442748091603,0.40105379859072227,1703,0.5637110980622431,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089299998,0.39175809472839174,0.21739105967353492,3737,0.5638212469895638,Fear
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,7687.978187,0.49523809523809526,0.19148342857142858,105,0.4,
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,0.0,165.22878923766814,223,1.0,Greed
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,0.4156136402977324,33.95914431885061,5777,0.4580231954301541,Fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,436920.907007,0.4021808851828095,32.912231205901215,6236,0.5610968569595894,
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,1.0,21.124,250,0.0,Greed
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,0.2692307692307692,1763.5735123813286,572,0.6048951048951049,Fear
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,212.60187,0.1111111111111111,302.73276156862744,153,0.1111111111111111,
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,0.5148514851485149,4.455445544554456,202,0.5148514851485149,Greed
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,0.43991416309012876,76.61551502145923,932,0.3208154506437768,Fear
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,3540.3708500000002,0.07894736842105263,1394.8464912280701,456,0.4276315789473684,
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,0.028639618138424822,266.7733651551313,419,0.026252983293556086,Greed
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,0.3961661341853035,1896.5781363152291,939,0.6112886048988285,Fear
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,9328.49,0.75,15195.527777777777,72,0.75,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,0.8240710292666886,87290.22407231832,3041,0.4633344294639921,Extreme Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,0.16666666666666666,37.86666666666667,6,0.5,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,0.8208661417322834,12750.904701220474,1016,0.5364173228346457,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,0.7985670419651996,53739.54957338792,4885,0.47512794268167863,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,17518.784011,0.8253968253968254,21176.211005291003,945,0.6888888888888889,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,0.4510939510939511,164.41601034749036,1554,0.4420849420849421,Fear
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,119.0,0.8,0.4,5,0.8,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,0.0,86.39333333333335,15,1.0,Greed
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,0.28763089005235604,1166.9295505039267,3056,0.32035340314136124,Fear
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,-363924.917628,0.5764705882352941,1903.91477124183,1530,0.8287581699346406,
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,0.037037037037037035,3644.2109259259264,54,0.8703703703703703,Greed
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,0.3401775804661487,603.4172362264151,1802,0.5943396226415094,Fear
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,991.770272,0.2909090909090909,45.970575272727274,55,0.6727272727272727,
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,0.32545931758530183,1548.5698897979003,3810,0.4477690288713911,Neutral
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,0.32427937915742794,3747.99604664852,1804,0.3464523281596452,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,0.30739021777936454,3014.433856833274,5602,0.4378793288111389,Fear
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,-33193.569796,0.10100475938656796,22951.184287837124,3782,0.5764145954521417,
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,0.07596685082872928,836.4600585745166,724,0.8867403314917127,Greed
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,0.3903846153846154,1472.4871634615383,2080,0.5855769230769231,Fear
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-06-15,17381.164,0.016129032258064516,5310.042741935485,248,0.9838709677419355,
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,0.418665400142484,65.61333522101638,4211,0.56946093564474,Greed
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,0.32003450506793185,415.5314882715117,9274,0.6609877075695493,Fear
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-15,16807.35236,0.3136792452830189,16.153268735849057,2120,0.6863207547169812,
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,0.0,4275.01971907,39,0.7948717948717948,Neutral
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,0.5477031802120141,798.1460184452296,283,0.4416961130742049,Greed
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,0.8842105263157894,3252.747008985474,95,0.0,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,0.5526315789473685,115.81315053889473,190,0.4421052631578947,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,0.2692307692307692,16487.91208791209,182,0.7307692307692307,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-06-15,38168.35486,0.39790575916230364,18874.34554973822,191,0.6020942408376964,
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,0.2222222222222222,0.060779999999999994,9,0.7777777777777778,Greed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,0.3238095238095238,0.13531017142857144,525,0.5657142857142857,Fear
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,0.2751677852348993,2571.132308878236,1043,0.46883988494726747,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,0.21879063719115735,23763.398300536413,3076,0.49187256176853056,Extreme Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,0.20998174071819842,4394.432638536214,1643,0.6202069385270846,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,0.5670347003154574,1131.2214598888959,1268,0.1167192429022082,Greed
